Date,Map,Score,Rank,K,D,A,+/-,HS%,ADR,1v5,1v4,1v3,1v2,1v1,5k,4k,3k,Rating,Match Links,PlayerID
"Wed, 22nd Jul",de_overpass,16:10,9,21,18,5,3,43,85,0,0,0,0,1,0,1,1,1.2,13289133,76561198236436482
"Wed, 22nd Jul",de_cache,16:11,9,17,21,5,-4,29,86,0,0,1,0,0,0,0,2,0.9,13131893,76561198236436482
"Wed, 22nd Jul",de_mirage,8:16,9,18,22,5,-4,61,106,0,0,0,0,0,0,0,1,0.82,13289130,76561198236436482
"Wed, 22nd Jul",de_nuke,16:3,9,11,10,3,1,64,58,0,0,0,0,1,0,0,0,0.96,13289126,76561198236436482
"Wed, 22nd Jul",de_mirage,1:11,9,7,11,3,-4,29,71,0,0,0,0,0,0,0,0,0.72,13289119,76561198236436482
"Wed, 22nd Jul",de_inferno,16:6,9,21,14,5,7,33,91,0,0,0,0,0,0,0,2,1.41,13289125,76561198236436482
"Tue, 21st Jul",de_mirage,6:16,9,10,22,6,-12,20,82,0,0,0,0,0,0,0,1,0.52,13289124,76561198236436482
"Tue, 21st Jul",de_cache,16:10,9,26,18,3,8,46,89,0,0,0,0,0,0,1,0,1.38,13289127,76561198236436482
"Tue, 21st Jul",de_inferno,13:16,9,15,25,4,-10,47,64,0,0,0,0,0,0,0,1,0.66,13289131,76561198236436482
"Tue, 21st Jul",de_overpass,10:16,9,10,22,4,-12,40,56,0,0,0,0,0,0,0,0,0.57,13289122,76561198236436482
"Mon, 20th Jul",de_cache,16:14,9,15,28,10,-13,60,78,0,0,0,0,0,0,0,1,0.55,13289123,76561198236436482
"Mon, 20th Jul",de_cache,8:16,9,13,21,4,-8,54,67,0,0,0,0,0,0,0,1,0.68,13289118,76561198236436482
"Mon, 20th Jul",de_mirage,11:16,9,15,21,4,-6,33,72,0,0,0,0,0,0,0,1,0.75,13065898,76561198236436482
"Sun, 19th Jul",de_dust2,16:9,9,13,19,7,-6,69,60,0,1,0,0,0,0,1,0,0.82,13289111,76561198236436482
"Sun, 19th Jul",de_mirage,12:16,9,16,21,5,-5,63,74,0,0,0,0,0,0,0,0,0.74,13289115,76561198236436482
"Sun, 19th Jul",de_nuke,15:15,9,27,23,13,4,52,117,0,0,0,0,0,0,0,2,1.17,13289112,76561198236436482
"Sun, 19th Jul",de_cache,15:15,9,23,21,6,2,61,90,0,0,0,0,0,0,0,2,1.08,13289109,76561198236436482
"Sat, 18th Jul",de_dust2,10:16,9,12,21,2,-9,58,61,0,0,0,0,1,0,0,0,0.59,12962359,76561198236436482
"Sat, 18th Jul",de_inferno,8:16,9,12,23,3,-11,67,64,0,0,0,0,0,0,0,0,0.58,12962367,76561198236436482
"Sat, 18th Jul",de_vertigo,13:16,9,15,21,2,-6,47,65,0,0,0,0,0,0,0,0,0.7,12962369,76561198236436482
"Sat, 18th Jul",de_cache,15:15,9,12,25,5,-13,25,60,0,0,0,0,1,0,0,0,0.49,12962360,76561198236436482
"Sat, 18th Jul",de_mirage,16:10,9,18,22,7,-4,39,75,0,0,0,0,0,0,0,1,0.86,12962358,76561198236436482
"Fri, 17th Jul",de_inferno,16:9,9,13,17,10,-4,31,83,0,0,0,0,0,0,0,0,0.83,12962368,76561198236436482
"Fri, 17th Jul",de_mirage,8:16,9,10,18,3,-8,60,57,0,0,0,0,0,0,0,0,0.58,12924732,76561198236436482
"Fri, 17th Jul",de_inferno,16:13,9,24,19,6,5,46,88,0,0,0,0,1,0,1,1,1.25,12962363,76561198236436482
"Fri, 17th Jul",de_inferno,9:16,9,12,22,3,-10,50,70,0,0,0,0,0,0,0,0,0.55,12962354,76561198236436482
"Fri, 17th Jul",de_mirage,16:12,9,13,22,6,-9,15,53,0,0,0,0,0,0,0,0,0.63,12962353,76561198236436482
"Thu, 16th Jul",de_inferno,10:16,9,19,23,4,-4,42,85,0,0,0,0,0,0,0,0,0.96,12962356,76561198236436482
